路線名稱,公車代碼,方向
786,0400078600,去程
786區,0400078620,去程
787,0400078700,去程
787經瑞芳工業區,0400078770,去程
788,0400078800,去程
788區,0461078820,去程
788海科館,0400078870,去程
789,0400078900,去程
789區,0400078920,去程
790,0400079000,去程
790漁港,0400079070,去程
791,0400079100,去程
791區,0400079120,去程
791繞貢寮,0400079170,去程
791經貢寮區衛生,0400079190,去程
793,0400079300,去程
795往木柵(台灣好行-木柵平溪線),0400079570,去程
795往平溪(台灣好行-木柵平溪線),0400079580,去程
795往十分寮(台灣好行-木柵平溪線),0400079500,去程
796,0400079600,去程
797,0400079700,去程
799,0400079900,去程
800,0400080000,去程
801,0400080100,去程
802,0400080200,去程
802區,0400080220,去程
803,0400080300,去程
805,0400080500,去程
806,0400080600,去程
807,0400080700,去程
808,0400080800,去程
810,0400081000,去程
811,0400081100,去程
812,0400081200,去程
813,0400081300,去程
813區,0400081320,去程
815,0400081500,去程
816,0400081600,去程
817,0400081700,去程
819,0400081900,去程
819副,0400081910,去程
820,0400082000,去程
821,0400082100,去程
822,0400082200,去程
823,0400082300,去程
824,0400082400,去程
825,0400082500,去程
826,0400082600,去程
827,0400082700,去程
835,0400083500,去程
836,0400083600,去程
837,0400083700,去程
837副,0400083710,去程
837區,0400083720,去程
838,0400083800,去程
839,0400083900,去程
839耕莘,0400083970,去程
842,0400084200,去程
843,0400084300,去程
845,0400084500,去程
846,0400084600,去程
847,0400084700,去程
847區,0400084720,去程
848,0400084800,去程
849,0400084900,去程
849屈尺社區,0400084970,去程
851,0400085100,去程
852,0400085200,去程
854,0400085400,去程
856(台灣好行-黃金福隆線),0400085600,去程
857,0400085700,去程
858,0400085800,去程
859,0400085900,去程
860,0400086000,去程
861,0400086100,去程
862,0400086200,去程
863,0400086300,去程
864,0400086400,去程
865,0400086500,去程
866,0400086600,去程
867,0400086700,去程
867區,0400086720,去程
868,0400086800,去程
869,0400086900,去程
870,0400087000,去程
871,0400087100,去程
871經中山北路,0400087170,去程
872,0400087200,去程
872經正德國中、直行中山北路,0400087270,去程
873,0400087300,去程
873經正德國中,0400087370,去程
874,0400087400,去程
875,0400087500,去程
876,0400087600,去程
877,0400087700,去程
878,0400087800,去程
878區,0400087820,去程
879,0400087900,去程
880,0400088000,去程
881,0400088100,去程
882,0400088200,去程
883,0400088300,去程
885,0400088500,去程
886,0400088600,去程
886區,0400088620,去程
889,0400088900,去程
890,0400089000,去程
891,0400089100,去程
894,0400089400,去程
895,0400089500,去程
896,0400089600,去程
897,0400089700,去程
897區,0400089720,去程
898,0400089800,去程
899,0400089900,去程
902,0100090200,去程
902區,0100090220,去程
903,0100090300,去程
905,0100090500,去程
905副,0100090510,去程
906,0400090600,去程
907,0100090700,去程
907通勤,0100090790,去程
908,0400090800,去程
908延,0400090870,去程
909,0400090900,去程
910,0400091000,去程
912,0100091200,去程
913,0400091300,去程
915,0100091500,去程
916,0400091600,去程
917,0400091700,去程
918,0400091800,去程
918區,0400091820,去程
919,0400091900,去程
920,0400092000,去程
920副,0400092010,去程
920A,0400092080,去程
921,0400092100,去程
922,0400092200,去程
923,0400092300,去程
925,0400092500,去程
925A,0400092580,去程
927,0400092700,去程
927經台北港,0400092790,去程
928,0400092800,去程
930,0400093000,去程
930延,0400093070,去程
932,0400093200,去程
932繞國家教育研究院,0400093270,去程
933,0400093300,去程
935,0400093500,去程
936,0400093600,去程
936A,0400093680,去程
937,0400093700,去程
937副,0400093710,去程
937A,0400093780,去程
938,0400093800,去程
939,0400093900,去程
939副,0400093910,去程
939跳蛙,0463093900,去程
940,0400094000,去程
941,0400094100,去程
943,0400094300,去程
945,0400094500,去程
946,0400094600,去程
946副,0400094610,去程
947,0400094700,去程
948,0400094800,去程
949,0100094900,去程
950,0100095000,去程
951,0400095100,去程
952,0400095200,去程
953,0400095300,去程
953區,0400095320,去程
955,0100095500,去程
957,0100095700,去程
958,0415002700,去程
959,0415002800,去程
960,0415002900,去程
963,0400096300,去程
965(台灣好行-九份金瓜石線),0400096500,去程
966,0400096600,去程
966副,0400096610,去程
966A,0400096680,去程
967,0400096700,去程
967副,0400096710,去程
967直,0400096730,去程
981,0410098100,去程
982,0410098200,去程
982區,0410098220,去程
982直達,0410098230,去程
982直達新埔線,0410098240,去程
983,0400098300,去程
1717,0100171700,去程
0南,0100000B00,去程
1,0100000100,去程
8,0400000800,去程
9,0100000900,去程
12,0100001200,去程
14,0100001400,去程
20,0100002000,去程
21,0100002100,去程
22,0100002200,去程
33,0100003300,去程
39,0100003900,去程
39夜,0100003940,去程
41,0100004100,去程
49,0100004900,去程
51,0400005100,去程
57,0400005700,去程
62,0400006200,去程
63,0100006300,去程
66,0100006600,去程
72,0100007200,去程
88,0100008800,去程
88區,0100008820,去程
99,0400009900,去程
202,0100020200,去程
202區,0100020220,去程
203,0100020300,去程
204,0100020400,去程
205,0100020500,去程
206,0100020600,去程
207,0100020700,去程
208,0100020800,去程
208區,0100020820,去程
208直,0100020830,去程
212,0100021200,去程
212直,0100021230,去程
214,0100021400,去程
214直,0100021430,去程
215,0100021500,去程
224,0100022400,去程
226,0100022600,去程
227,0100022700,去程
231,0400023100,去程
234,0100023400,去程
235,0100023500,去程
236區,0100023620,去程
241,0400024100,去程
243,0400024300,去程
245,0400024500,去程
246,0100024600,去程
247,0100024700,去程
247區,0100024720,去程
249,0400024900,去程
253,0100025300,去程
260,0100026000,去程
262,0100026200,去程
262區,0100026220,去程
264,0400026400,去程
267,0100026700,去程
268,0100026800,去程
270,0100027000,去程
270區,0100027020,去程
